,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,Coordinates,nearest_shuttle_stop,nearest_restaurants
227,2020-02-23 18:39," (highland Park, 15206)",40.472300;-79.913200,Stunning Two- Bedroom--Prime Location!!!,2,1050.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-stunning-two-bedroom-prime/7079483660.html,1050,40.4723,-79.9132,5096.0,1569.0,632.0,10597.0,2424.0,632.0,POINT (191426900.8025528 -19795537.08837642),"('Bakery Square (Google)', 'BS', 13.226579172238615)","[('Caribbean Vybz', 8.303910389997696, 5.0), ('Mama Rose', 9.84581900670479, 4.5), ('Larder of East End', 10.271161615173982, 4.5), ('Point Brugge Café', 15.170235541730863, 4.5), (""Cc's Cafe"", 15.253125434500154, 3.5)]"
244,2020-02-23 18:30, (Squirrel Hill / Murry Ave @ Forward Ave),40.428549;-79.924164,★Available NOW--AC--Hardwood Floors--Closet Space--Heat Incld!★,1,770.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-ac-hardwood/7081095157.html,1295,40.428549,-79.924164,3463.0,780.0,62.0,9322.0,1869.0,62.0,POINT (191539070.9849971 -19921224.08797101),"('Beacon Street at Murray Avenue', 'BS', 5.554485992900438)","[('New Dumpling And Sushi House', 4.0942166093239045, 3.5), ('Tan Lac Vien', 4.70237149522346, 4.0), (""Mineo's Pizza House"", 4.703279667816005, 3.5), (""Aiello's Pizza"", 4.757894345253043, 4.0), ('Milky Way', 4.898024149208487, 3.5)]"
248,2020-02-23 18:26, (Regent  Square - Frick Park),40.443126;-79.889681,"All Utilities Included, Easy Access to Oakland & Downtown, Aug 1st",1,685.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included-easy/7067945971.html,1015,40.443126,-79.88968100000001,5481.0,1093.0,348.0,11341.0,2182.0,348.0,POINT (191124637.564671 -19790079.74370996),"('Bakery Square (Google)', 'BS', 97.91408427516572)","[('The Dream BBQ', 8.758811621773118, 4.5), (""Applebee's Grill + Bar"", 11.659790873250774, 3.0), (""Nancy's Revival"", 13.343366619895127, 4.5), ('Rudy Martino Original House of Submarines', 14.818194107684459, 4.5), ('Square Cafe', 15.578423312200204, 4.0)]"
283,2020-02-23 18:11, (Regent Square - Frick Park),40.439562;-79.885433,"Classic Apartment, Parking, Pet Friendly, Big Rooms",1,905.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-classic-apartment-parking/7078283843.html,850,40.439562,-79.88543299999999,5746.0,1191.0,298.0,13114.0,1791.0,589.0,POINT (191071027.0321742 -19785449.17388592),"('Bakery Square (Google)', 'BS', 114.2923750281951)","[('Soul Food Connection', 2.074035453136871, 4.5), (""Nancy's Revival"", 3.3728531255408543, 4.5), ('Thai Terrace', 7.980399978477828, 4.5), ('Crabs R Us', 9.812382163515037, 3.5), ('Fireside Caribbean Restaurant', 12.43338325666478, 4.0)]"
287,2020-02-23 18:06, (248 S. Atlantic (Friendship/Shadyside/Bloomfield)),40.462884;-79.938822,"August,Split Level 4br/2bath, Wash/Dry, Updated!",4,2000.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-augustsplit-level-4br-2bath/7081098813.html,2560,40.462884,-79.938822,4635.0,1944.0,665.0,6940.0,1367.0,206.0,POINT (191736560.6497882 -19890091.67408354),"('Centre Avenue at South Aiken Avenue', 'A', 4.800672754960843)","[('BFG Café', 4.976799947955748, 4.0), ('Friendship Perk and Brew', 7.127725190443065, 4.5), ('Spork Pit', 8.892616135002244, 3.5), (""People's Indian Restaurant"", 9.341322903693774, 4.0), ('Selamis Turkish Kebab House', 10.064172223428159, 4.5)]"
295,2020-02-23 18:05, (Penn Hills),40.459800;-79.822400,Verona 3 Bdr/1 Ba House RENT-2-OWN! EZ QUAL!!,3,1320.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-verona-3-bdr-1-ba-house-rent/7066501880.html,1095,40.4598,-79.8224,14173.0,3606.0,832.0,19589.0,4073.0,832.0,POINT (190316742.0363527 -19561293.84888916),"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]"
303,2020-02-23 18:05, (Regent  Square - Frick Park),40.439027;-79.893265,"Two-Floor Split-Level, Pet Friendly, Great Neighborhood, Aug 1st",1,876.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-two-floor-split-level-pet/7067744597.html,1009,40.439027,-79.893265,4888.0,935.0,199.0,10747.0,2024.0,199.0,POINT (191166292.9724283 -19809213.61391257),"('Bakery Square (Google)', 'BS', 84.60682902683355)","[('El Burro', 4.578339729456399, 3.5), ('Istanbul Grille', 4.604620829793983, 4.5), ('Square Cafe', 4.639187114409183, 4.0), ('Thai Cottage', 4.679601982076698, 4.0), (""D's Six Pax & Dogz"", 4.8743184672560735, 4.0)]"
305,2020-02-23 18:04, (Penn Hills),40.460674;-79.860271,"RENT-2-OWN Home in Penn Hills! 3-4 BR, Minor Fixer Upper! EZ Qual!",3,1320.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-rent-2-own-home-in-penn/7078908128.html,995,40.460674,-79.860271,15880.0,3411.0,676.0,20122.0,3513.0,676.0,POINT (190775593.041731 -19667841.7286803),"('Bakery Square (Google)', 'BS', 209.65886270907365)","[('Starlite Lounge', 22.296011392717894, 3.5), ('Maenam Thai Restaurant', 22.38853224300081, 5.0), (""Nox's Tavern and Grille"", 23.097201532434983, 4.5), ('Steel Towne Inn', 37.08975207776498, 4.5), ('Superior Motors', 42.13291570286099, 4.0)]"
307,2020-02-23 18:04, (McKees Rocks),40.471700;-80.087600,McKees Rocks RENT-2-OWN! Own Ur Own Home! EZ Qual,2,924.0,https://pittsburgh.craigslist.org/apa/d/mc-kees-rocks-mckees-rocks-rent-2-own/7071400329.html,695,40.4717,-80.0876,38753.0,5041.0,1259.0,32014.0,4205.0,1259.0,POINT (193593225.2101745 -20308936.5356444),"('PTC-Pittsburgh Technology Center', 'PTC', 482.6942389657156)","[('Fireside Inn', 22.45888309715909, 3.5), ('Sapporo Japanese Steakhouse', 25.198466374997903, 4.0), ('Tap Club', 38.626082369203836, 5.0), (""Sunny Jim's Tavern"", 39.554726943393334, 3.5), ('Cafe Delhi', 43.27479457838765, 4.0)]"
309,2020-02-23 18:04, (Pittsburgh),40.371870;-79.911360,"Lincoln Place RENT-2-OWN! Minor Fixer, But LOW Down, EZ Qual",2,840.0,https://pittsburgh.craigslist.org/apa/d/west-mifflin-lincoln-place-rent-2-own/7071389046.html,895,40.37187,-79.91136,13541.0,3042.0,381.0,13427.0,1962.0,381.0,POINT (191353328.9396509 -20005614.35269955),"('Beacon Street at Shady Avenue', 'BS', 51.95741831192926)","[('Porked', 5.3211728084325465, 5.0), (""Duke's Upper Deck Cafe"", 22.964906207266402, 4.0), ('Eighth & Hays', 23.031402458174732, 4.5), ('Hook Fish and Chicken', 24.07736573064472, 5.0), (""Honest John's Bar & Restaurant"", 24.227805322873674, 4.5)]"
