,apartment_location,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown
118,40.428786;-79.914551,4079.0,1486.0,869.0,9938.0,2815.0,869.0
119,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
120,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
121,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
122,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
123,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
124,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
125,40.443648;-79.891977,5350.0,1402.0,350.0,12681.0,1815.0,650.0
126,40.437495;-79.952523,2144.0,801.0,668.0,4868.0,1634.0,788.0
127,40.314142;-80.031799,20198.0,3851.0,337.0,15266.0,2714.0,337.0
128,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
129,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
130,40.442473;-79.893501,5054.0,1218.0,182.0,10913.0,2547.0,182.0
131,40.491659;-80.051923,14942.0,3449.0,317.0,9286.0,2030.0,317.0
132,40.465870;-80.033019,11540.0,2688.0,63.0,5884.0,1269.0,63.0
133,40.392600;-79.905200,9591.0,3644.0,1118.0,15145.0,2972.0,1118.0
134,40.172332;-80.247188,61845.0,5697.0,209.0,55733.0,3959.0,209.0
135,40.475200;-79.952800,6095.0,2114.0,696.0,6451.0,2383.0,719.0
136,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
137,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
138,40.472275;-79.959794,8791.0,2576.0,531.0,5540.0,1910.0,126.0
139,40.368800;-80.022400,14701.0,3329.0,724.0,9769.0,2192.0,724.0
140,40.425400;-79.979900,5229.0,1582.0,125.0,3868.0,1161.0,125.0
141,40.443746;-79.891999,5305.0,1367.0,305.0,12750.0,1860.0,719.0
